category,moduleId,moduleTitle,assessmentType,form,questionId,pairedQuestionId,competencyId,bloomLevel,difficulty,prompt,optionA,optionB,optionC,optionD,correctAnswerLetter,correctAnswerText,rationale,sourceReferences,validationStatus
"foundations","foundations-beginner-mistakes","Common beginner mistakes","in-module","","foundations-beginner-mistakes:understanding","","beginner-mistake-name","understanding","moderate","Why is naming a class “FactoryManager” NOT enough to claim it uses a pattern?","Because class names must be lowercase","Because patterns cannot be used in named classes","Because the compiler ignores names","Because a pattern is defined by its structure and intent, not by a label in the name","D","Because a pattern is defined by its structure and intent, not by a label in the name","A pattern is identified by structure and intent; a suggestive class name alone is not evidence the pattern is present.","CodiNeo Foundations module content","draft"
"foundations","foundations-categories","Three main pattern categories","formal","A","foundations-categories:A1","foundations-categories:B1","pattern-families","remember","easy","Which trio names the three classic Gang-of-Four pattern families?","Compiling, Linking, Running","Frontend, Backend, Database","Creational, Structural, Behavioural","Static, Dynamic, Virtual","C","Creational, Structural, Behavioural","The GoF families are Creational, Structural, and Behavioural. The other groupings are build phases, app tiers, and binding kinds — not pattern families.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-categories","Three main pattern categories","formal","A","foundations-categories:A2","foundations-categories:B2","pattern-families","understand","moderate","A pattern’s main job is deciding HOW objects are created. Which family is it in?","Creational","Structural","Behavioural","None — creation is never a pattern concern","A","Creational","Creational patterns address object creation/instantiation concerns. Structural deals with composition; Behavioural with communication; creation is squarely a Creational concern.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-categories","Three main pattern categories","formal","A","foundations-categories:A3","foundations-categories:B3","pattern-families","understand","moderate","Which sentence correctly maps the three families by intent?","Creational connects objects; Structural decides communication; Behavioural makes objects","Creational makes objects; Structural composes/connects them; Behavioural decides how they communicate","All three families do the same thing under different names","Structural is a special case of Creational","B","Creational makes objects; Structural composes/connects them; Behavioural decides how they communicate","Creational = how objects are made; Structural = how they are composed/related; Behavioural = how responsibilities/communication are organised. The other options swap or conflate these intents.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-categories","Three main pattern categories","formal","B","foundations-categories:B1","foundations-categories:A1","pattern-families","remember","easy","The Gang-of-Four catalogue groups patterns into three families. Which option lists them?","Behavioural, Structural, Creational","Public, Private, Protected","Stack, Heap, Register","Model, View, Controller","A","Behavioural, Structural, Creational","The three GoF families are Creational, Structural, and Behavioural (order aside). Access specifiers, memory regions, and MVC are unrelated groupings.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-categories","Three main pattern categories","formal","B","foundations-categories:B2","foundations-categories:A2","pattern-families","understand","moderate","A pattern primarily organises how responsibilities are assigned and how objects talk at runtime. Which family?","Creational","Structural","Behavioural","None — communication is not a pattern concern","C","Behavioural","Behavioural patterns concern responsibility assignment and runtime communication between objects. Creational is about making objects; Structural about composing them.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-categories","Three main pattern categories","formal","B","foundations-categories:B3","foundations-categories:A3","pattern-families","understand","moderate","Which mapping of family-to-intent is correct?","Structural makes objects; Behavioural composes them; Creational handles communication","All families address object creation only","Behavioural is a subset of Structural","Creational = object creation; Structural = composition/relationships; Behavioural = communication/responsibility","D","Creational = object creation; Structural = composition/relationships; Behavioural = communication/responsibility","Only the last option maps each family to its real intent. The others swap intents, over-narrow to creation, or invent a subset relationship.","Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-categories","Three main pattern categories","in-module","","foundations-categories:remembering","","categories-three","remembering","easy","What are the three main GoF pattern categories described in this module?","Public, private, protected","Easy, moderate, hard","Compile, link, run","Creational, Structural, Behavioural","D","Creational, Structural, Behavioural","The three GoF categories are Creational, Structural, and Behavioural; the module adds a fourth bucket of C++ idioms.","CodiNeo Foundations module content; Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-categories","Three main pattern categories","in-module","","foundations-categories:understanding","","categories-basis","understanding","moderate","On what basis are patterns grouped into those categories?","By how many lines of code they need","By the year they were invented","By what the pattern is responsible for — creating objects, organising them, or coordinating behaviour","By the author’s last name","C","By what the pattern is responsible for — creating objects, organising them, or coordinating behaviour","Categories reflect responsibility: object creation (Creational), structure/composition (Structural), and communication/behaviour (Behavioural).","CodiNeo Foundations module content; Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-code-structure","Understanding software structure","formal","A","foundations-code-structure:A1","foundations-code-structure:B1","code-structure-analysis","remember","easy","What does CodiNeo’s analyser inspect to detect patterns?","Only the code comments","The program’s runtime speed","Class relationships and structure via a parse tree (AST)","The source file names","C","Class relationships and structure via a parse tree (AST)","Detection works over class relationships/structure captured in a parse tree (AST), not comments, runtime speed, or file names.","CodiNeo Foundations module content","draft"
"foundations","foundations-code-structure","Understanding software structure","formal","A","foundations-code-structure:A2","foundations-code-structure:B2","code-structure-analysis","understand","moderate","Why can patterns be detected from code structure rather than from names?","Because every pattern class is named after its pattern","Because patterns are defined by relationships and responsibilities, not identifiers","Because the compiler emits pattern tags","Because comments declare the pattern","B","Because patterns are defined by relationships and responsibilities, not identifiers","Patterns are defined by relationships/responsibilities, so structure is the real evidence; names, compilers, and comments are not reliable signals.","CodiNeo Foundations module content","draft"
"foundations","foundations-code-structure","Understanding software structure","formal","B","foundations-code-structure:B1","foundations-code-structure:A1","code-structure-analysis","remember","easy","Which representation lets a tool analyse class relationships and dependencies?","A rendered screenshot of the code","An abstract syntax tree (parse tree) of the source","A list of file sizes","The commit history","B","An abstract syntax tree (parse tree) of the source","An abstract syntax tree (parse tree) exposes structure/relationships for analysis; the other options carry no structural information.","CodiNeo Foundations module content","draft"
"foundations","foundations-code-structure","Understanding software structure","formal","B","foundations-code-structure:B2","foundations-code-structure:A2","code-structure-analysis","understand","moderate","A class is named “ObserverManager” but never notifies dependents. Why won’t a structure-based analyser tag it as Observer?","Because the name is misspelled","Because Observer must live in its own file","Because “Manager” classes can never be patterns","Because detection relies on structural evidence, not the class name","D","Because detection relies on structural evidence, not the class name","Structure-based detection requires the observer/notify relationship; the name alone is not evidence, so the class is not tagged.","CodiNeo Foundations module content","draft"
"foundations","foundations-code-structure","Understanding software structure","in-module","","foundations-code-structure:remembering","","code-structure-ast","remembering","easy","What does AST stand for in this module?","Abstract Syntax Tree","Automated Software Test","Applied Statistical Table","Assembly Stack Trace","A","Abstract Syntax Tree","AST = Abstract Syntax Tree, a tree representation of code structure that tools analyse.","CodiNeo Foundations module content","draft"
"foundations","foundations-code-structure","Understanding software structure","in-module","","foundations-code-structure:understanding","","code-structure-why","understanding","moderate","Why can patterns be detected as “shapes” in code structure rather than by reading comments?","Because comments are always wrong","Because the compiler renames every class","Because class relationships, inheritance, and call flow form recognisable structural arrangements a tool can analyse","Because patterns only exist in documentation","C","Because class relationships, inheritance, and call flow form recognisable structural arrangements a tool can analyse","Patterns manifest as structural arrangements (relationships, inheritance, call flow) that a tool can analyse from a parse tree, independent of comments.","CodiNeo Foundations module content","draft"
"foundations","foundations-connotative-definition","The connotative-definition rule","formal","A","foundations-connotative-definition:A1","foundations-connotative-definition:B1","connotative-definition","remember","easy","According to this module, the way to reduce pattern ambiguity is to ___.","guess the most likely pattern","add context to the definition itself (as connotation adds to denotation)","rename the class","remove the abstraction","B","add context to the definition itself (as connotation adds to denotation)","The rule reduces ambiguity by adding contextual intent to the definition, mirroring connotation in language — not guessing, renaming, or removing abstraction.","CodiNeo Foundations module content","draft"
"foundations","foundations-connotative-definition","The connotative-definition rule","formal","A","foundations-connotative-definition:A2","foundations-connotative-definition:B2","connotative-definition","understand","moderate","What does the denotation-vs-connotation analogy imply for pattern definitions?","Definitions should simply be shorter","Patterns need no definition","A pattern’s meaning sharpens when intent/context is added to its bare structure","Structure alone is always sufficient","C","A pattern’s meaning sharpens when intent/context is added to its bare structure","Just as connotation adds meaning beyond denotation, adding intent/context to bare structure sharpens a pattern’s definition.","CodiNeo Foundations module content","draft"
"foundations","foundations-connotative-definition","The connotative-definition rule","formal","B","foundations-connotative-definition:B1","foundations-connotative-definition:A1","connotative-definition","remember","easy","To reduce ambiguity, the connotative-definition rule says you should ___.","add contextual intent to the definition rather than guess","pick the shortest pattern name","delete the ambiguous code","avoid interfaces","A","add contextual intent to the definition rather than guess","The rule adds contextual intent to the definition rather than guessing; the alternatives do not reduce ambiguity.","CodiNeo Foundations module content","draft"
"foundations","foundations-connotative-definition","The connotative-definition rule","formal","B","foundations-connotative-definition:B2","foundations-connotative-definition:A2","connotative-definition","understand","moderate","How does CodiNeo apply the connotative-definition rule?","By ignoring intent entirely","By using only class names","By trusting code comments","By enriching a pattern’s structural definition with intent/context cues","D","By enriching a pattern’s structural definition with intent/context cues","CodiNeo enriches the structural definition with intent/context cues so detection is less ambiguous; the other options ignore intent.","CodiNeo Foundations module content","draft"
"foundations","foundations-connotative-definition","The connotative-definition rule","in-module","","foundations-connotative-definition:remembering","","connotative-rule","remembering","easy","The connotative-definition rule reduces ambiguity by ___.","guessing the most likely pattern","adding descriptive context to the definition so the meaning narrows","removing all definitions","renaming the classes","B","adding descriptive context to the definition so the meaning narrows","Adding descriptive context (more structural descriptions) narrows meaning — the connotation idea applied to pattern definitions.","CodiNeo Foundations module content","draft"
"foundations","foundations-connotative-definition","The connotative-definition rule","in-module","","foundations-connotative-definition:understanding","","connotative-set","understanding","moderate","Why does CodiNeo define each pattern by a SET of structural descriptions rather than a single keyword?","Because one keyword is faster to type","Because keywords are banned in C++","Because a combination of descriptions narrows which pattern is meant, reducing ambiguity","Because patterns have no structure","C","Because a combination of descriptions narrows which pattern is meant, reducing ambiguity","A set of token/structure descriptions, taken together, narrows the meaning far more than a single keyword could.","CodiNeo Foundations module content","draft"
"foundations","foundations-context-variation","Patterns vary by team and codebase","formal","A","foundations-context-variation:A1","foundations-context-variation:B1","convention-variation","remember","easy","Two teams that both use Builder may ___.","produce byte-identical code","write code that looks different while following the same intent","never compile","always disagree on the result","B","write code that looks different while following the same intent","Teams can implement the same pattern with different surface conventions while keeping the same intent.","CodiNeo Foundations module content","draft"
"foundations","foundations-context-variation","Patterns vary by team and codebase","formal","A","foundations-context-variation:A2","foundations-context-variation:B2","convention-variation","understand","moderate","How does CodiNeo handle convention variation between teams?","It picks one team’s style as universal truth","It rejects all variation","It standardises on detectable structural evidence rather than one team’s convention","It ignores structure","C","It standardises on detectable structural evidence rather than one team’s convention","CodiNeo standardises on detectable structural evidence rather than crowning one team’s convention, so reasonable variation is tolerated.","CodiNeo Foundations module content","draft"
"foundations","foundations-context-variation","Patterns vary by team and codebase","formal","B","foundations-context-variation:B1","foundations-context-variation:A1","convention-variation","remember","easy","What is the module’s point about coding conventions?","The same pattern can be written different ways across teams","Every team writes identical code","Conventions never vary","Variation always indicates a bug","A","The same pattern can be written different ways across teams","The point is that the same pattern can be written differently across teams; the alternatives are false.","CodiNeo Foundations module content","draft"
"foundations","foundations-context-variation","Patterns vary by team and codebase","formal","B","foundations-context-variation:B2","foundations-context-variation:A2","convention-variation","understand","moderate","To live with convention variation, CodiNeo ___.","forces one convention on everyone","bans alternative styles","requires identical formatting","detects the pattern by structural evidence, allowing surface variation","D","detects the pattern by structural evidence, allowing surface variation","It detects patterns by structural evidence and allows surface variation, instead of forcing or banning styles.","CodiNeo Foundations module content","draft"
"foundations","foundations-context-variation","Patterns vary by team and codebase","in-module","","foundations-context-variation:remembering","","context-variation-fact","remembering","easy","According to the module, two teams that both use Builder may ___.","write code that looks different while still being Builder","write code that always looks byte-for-byte identical","never use Builder correctly","be forced to use the same variable names","A","write code that looks different while still being Builder","Conventions vary by team, so two correct Builder implementations can look different — the module’s central point.","CodiNeo Foundations module content","draft"
"foundations","foundations-context-variation","Patterns vary by team and codebase","in-module","","foundations-context-variation:understanding","","context-variation-standard","understanding","moderate","How does CodiNeo keep detection consistent despite team-by-team variation?","By picking one team’s style as universal truth","By standardising on language-level structure, leaving team conventions to be layered on top","By refusing to analyse any code","By requiring all teams to rewrite their code","B","By standardising on language-level structure, leaving team conventions to be layered on top","CodiNeo answers the structural question at the language level; stricter team conventions are layered on top rather than baked into detection.","CodiNeo Foundations module content","draft"
"foundations","foundations-interface-principle","Program to an interface","formal","A","foundations-interface-principle:A1","foundations-interface-principle:B1","interface-principle","remember","easy","What does “program to an interface, not an implementation” mean?","Always use abstract classes for everything","Write all code in header files","Depend on a shared abstraction instead of one specific concrete class","Avoid interfaces to reduce the file count","C","Depend on a shared abstraction instead of one specific concrete class","The principle says to depend on a shared abstraction (capability) rather than a specific concrete class. It is not about abstract classes everywhere, header files, or avoiding interfaces.","CodiNeo Foundations module content; Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-interface-principle","Program to an interface","formal","A","foundations-interface-principle:A2","foundations-interface-principle:B2","interface-principle","understand","moderate","Why does depending on an abstraction make a system easier to change?","It always reduces the number of classes","Callers are decoupled from concrete types, so implementations can be swapped without editing callers","It makes the program run faster","It removes the need for tests","B","Callers are decoupled from concrete types, so implementations can be swapped without editing callers","Decoupling callers from concrete types lets implementations be substituted without changing the callers. It does not inherently reduce classes, improve speed, or remove tests.","CodiNeo Foundations module content","draft"
"foundations","foundations-interface-principle","Program to an interface","formal","A","foundations-interface-principle:A3","foundations-interface-principle:B3","interface-principle","apply","moderate","A team must support several payment providers and switch between them without changing checkout code. Which approach applies the principle?","Inline every provider into the checkout code","Store the active provider in a global variable","Hard-code one default provider","Have checkout depend on a payment abstraction that each provider implements","D","Have checkout depend on a payment abstraction that each provider implements","Depending on a payment abstraction implemented by each provider lets checkout stay unchanged while providers vary — the principle in action. The other options couple checkout to concretes.","CodiNeo Foundations module content","draft"
"foundations","foundations-interface-principle","Program to an interface","formal","B","foundations-interface-principle:B1","foundations-interface-principle:A1","interface-principle","remember","easy","“Program to an interface” tells you to depend on ___.","a shared abstraction rather than a specific concrete class","the most-derived class available","only static free functions","the standard library","A","a shared abstraction rather than a specific concrete class","The rule is to depend on a shared abstraction rather than a specific concrete class. The other options misstate it.","CodiNeo Foundations module content; Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
"foundations","foundations-interface-principle","Program to an interface","formal","B","foundations-interface-principle:B2","foundations-interface-principle:A2","interface-principle","understand","moderate","A module depends on an abstraction rather than a concrete class. What does this most enable?","Guaranteed lower memory use","Fewer source files in all cases","The ability to substitute implementations without changing the dependent module","Automatic multithreading","C","The ability to substitute implementations without changing the dependent module","An abstraction dependency enables substituting implementations without editing the dependent module. It gives no memory, file-count, or threading guarantee.","CodiNeo Foundations module content","draft"
"foundations","foundations-interface-principle","Program to an interface","formal","B","foundations-interface-principle:B3","foundations-interface-principle:A3","interface-principle","apply","moderate","A logging component must write to console, file, or network sinks chosen at runtime without changing callers. Which approach applies the principle?","Duplicate the logger for each sink","Depend on a sink abstraction that each backend implements","Put a large switch statement in every caller","Make every sink a global object","B","Depend on a sink abstraction that each backend implements","Depending on a sink abstraction implemented by each backend lets the sink vary at runtime without changing callers. The alternatives couple callers to concretes.","CodiNeo Foundations module content","draft"
"foundations","foundations-interface-principle","Program to an interface","in-module","","foundations-interface-principle:remembering","","interface-principle-statement","remembering","easy","The principle taught in this module is “program to an ___.”","interface, not an implementation","integer, not a string","inline function, not a macro","index, not a pointer","A","interface, not an implementation","The principle is “program to an interface, not an implementation” — depend on abstractions, not concrete classes.","CodiNeo Foundations module content","draft"
"foundations","foundations-interface-principle","Program to an interface","in-module","","foundations-interface-principle:understanding","","interface-principle-benefit","understanding","moderate","Why does depending on an abstraction instead of a concrete class make a system easier to change?","It deletes all the concrete classes","It forces every class to be final","It makes the program compile without linking","New or swapped implementations can be used without modifying the callers that depend only on the abstraction","D","New or swapped implementations can be used without modifying the callers that depend only on the abstraction","Callers that depend on an abstraction are insulated from concrete changes, so implementations can be added or swapped without editing them.","CodiNeo Foundations module content","draft"
"foundations","foundations-interface-principle","Program to an interface","in-module","","foundations-interface-principle:applying","","interface-principle-apply","applying","moderate","Several callers each hard-code PayPalProcessor. To follow this module’s principle, what should they depend on instead?","The exact PayPalProcessor class, but copied into each caller","A global PayPal instance","A shared PaymentProcessor abstraction that any concrete processor implements","A faster version of PayPalProcessor","C","A shared PaymentProcessor abstraction that any concrete processor implements","Depending on a shared PaymentProcessor abstraction lets any concrete processor be substituted without changing the callers.","CodiNeo Foundations module content","draft"
"foundations","foundations-oop","OOP foundations","formal","A","foundations-oop:A1","foundations-oop:B1","oop-foundations","remember","easy","Which OOP mechanism lets one interface call be served by different concrete implementations at runtime?","Encapsulation","Polymorphism","Macro expansion","Static linking","B","Polymorphism","Polymorphism (via virtual dispatch) lets a call through a base interface run different concrete behaviour. Encapsulation hides state; macros and linking are unrelated build-time mechanisms.","CodiNeo Foundations module content","draft"
"foundations","foundations-oop","OOP foundations","formal","A","foundations-oop:A2","foundations-oop:B2","oop-foundations","understand","moderate","Why do many design patterns depend on programming to an interface (abstraction) rather than a concrete class?","It lets implementations vary independently of the code that uses them","It always reduces the number of classes","It makes the program use less memory","It removes the need for constructors","A","It lets implementations vary independently of the code that uses them","Depending on an abstraction decouples clients from concrete types, so implementations can change/substitute without touching callers — the basis of many patterns. It does not inherently reduce classes/memory or remove constructors.","CodiNeo Foundations module content; Gamma, Helm, Johnson, Vlissides (1994), Design Patterns, ch. 1","draft"
